Catchment,prcptot,RR1,rx1day,rx5day,cwd,rr20mm,r90p,r95p,r99p,r90pday,r95pday,r99pday,nrr95p,nrr99p,dry_days,cdd,Year
GRDC_6337580,615.5742534731,162.2,26.36906785714286,57.362535157142865,18.4,0.8,7.106021628571429,9.38452976928571,15.94306712571428,16.6,8.5,2.0,0.3075605221999833,0.1727821105838541,92.8,12.1,2015.5
GRDC_6337590,661.3802171723,180.8,27.298433,59.94832531428572,27.0,1.0,7.202015937142858,10.002565442857138,15.807223971428574,18.4,9.3,2.1,0.3041220576053863,0.18020809054062564,74.2,9.7,2015.5
GRDC_6337600,596.52019225068,146.2,26.157244357142854,53.37675074285715,11.9,0.8,7.618309140000002,10.151667028571426,15.699346358571429,14.9,7.5,1.8,0.2899627878315433,0.16871400663714511,108.8,13.9,2015.5
GRDC_6337601,565.6816899222,146.2,27.034087,53.128828399999996,15.1,0.7,7.030985902857144,9.483132646428569,14.906722219999994,14.8,7.6,1.9,0.29242967029674455,0.16910410062290313,108.8,14.7,2015.5
GRDC_6337610,777.9797267514999,215.1,21.533040222222226,50.97366411111111,26.2,0.8,6.612005893333334,9.121052552222219,14.755472932222224,22.1,11.4,2.6,0.31150953593700226,0.184217792374982,100.7,14.1,2015.5
GRDC_6338010,684.92469147917,182.0,25.647804125,53.755168375,24.8,0.9,6.753390631250001,9.727010712499997,15.130027595000001,18.6,9.6,2.3,0.30999849236704224,0.17186043461128228,103.4,14.7,2015.5
GRDC_6338100,675.5670509438,185.9,20.8339375,46.9773746625,19.5,0.6,6.5800698550000005,8.711550337499997,13.549458986250002,19.0,9.7,2.4,0.3256792219821587,0.2001792247748842,105.6,11.4,2015.5
GRDC_6338110,822.3143368881999,218.7,21.984589800000002,47.79487074,21.7,0.7,6.8196525060000015,8.776659129999997,14.142835323999998,22.2,11.4,3.0,0.3051098452580923,0.1847933280852064,146.6,19.1,2015.5
GRDC_6338120,564.8594536836,141.9,25.161996428571427,49.1433849,15.0,1.0,7.154984405714287,9.680463635714284,15.93876392071429,14.6,7.4,1.8,0.2956953337968624,0.16843631773553952,107.1,14.1,2015.5
GRDC_6338130,748.36374434955,190.0,21.821289166666666,47.07821706666667,18.9,0.6,7.16091386888889,9.345777249999996,14.38252803444444,19.4,9.9,2.5,0.30010766457264254,0.1815372087481978,138.0,16.4,2015.5
GRDC_6338140,675.4442755192,186.6,19.7763475625,46.636291175,19.5,0.5,6.664936096250001,8.650548406249996,13.685882556874995,19.1,9.7,2.4,0.31776373463002155,0.19351681903749457,104.9,11.4,2015.5
GRDC_6338150,804.28157917231,209.7,21.6067821,42.92818630000001,22.1,0.7,6.913623295000001,9.066210577999998,14.566706789999998,21.5,11.0,2.6,0.30242808170628,0.16998390991375115,155.6,22.7,2015.5
GRDC_6338160,611.0768165194,167.8,20.388351999999998,46.9940824125,18.1,0.6,6.761285186250001,8.95808474125,13.74401390624999,17.2,8.7,2.2,0.326188253442347,0.1998418416238809,90.3,9.5,2015.5
GRDC_6338161,674.54760612866,180.1,20.680045,48.0722315125,14.9,0.6,6.85282298375,9.225133031249996,14.398940888749998,18.4,9.4,2.4,0.30995884705828675,0.18374868263423702,111.5,11.9,2015.5
GRDC_6338162,601.9329400885,155.0,21.221182714285714,47.904685900000004,15.5,0.6,7.276962887142858,9.617069339285711,16.054309579999995,15.8,8.1,2.0,0.2961302066459906,0.17348078298489225,100.0,11.0,2015.5
GRDC_6338163,563.8810054435401,153.3,21.621114428571428,42.59666525714285,16.1,0.5,6.696115931428571,8.821763921428564,14.337419614285706,15.6,7.9,2.0,0.30790410218906816,0.1742572228622749,101.7,12.4,2015.5
